"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding","level_id","platform_code"
"104931-2329808","3","W Tennessee Street and N Macomb Street","WTENMCMB","30.444821","-84.288119","","","0","","","1","",""
"104931-2329809","4","W Tennessee Street and N Copeland Street","TENNCOPE","30.44481","-84.291068","","","0","","","1","",""
"104931-2329810","5","W Tennessee Street and Raven St","W TE5","30.444841","-84.292798","","","0","","","1","",""
"104931-2329811","7","W Tennessee Street and W Brevard Street","W TE7","30.448418","-84.30241","","","0","","","1","",""
"104931-2329812","8","W Tennessee Street and Basin Street","W TE8","30.449188","-84.306548","","","0","","","1","",""
"104931-2329813","9","W Tennessee Street and Caliark Street","TENCALRK","30.44919","-84.311368","","","0","","","1","",""
"104931-2329815","12","N Ocala Road and Osceola Ridge","OCLAOS","30.452215","-84.317143","","","0","","","1","",""
"104931-2329816","13","N Ocala Road and Continental Avenue","TENNOCLA","30.455374","-84.317496","","","0","","","1","",""
"104931-2329817","16","N Ocala Road North of Continental Avenue","N OC16","30.457652","-84.318075","","","0","","","1","",""
"104931-2329818","17","N Ocala Road and Godby High School","OCLA GHS","30.459184","-84.317943","","","0","","","1","",""
"104931-2329819","18","W Tharpe Street and Devra Drive","W TH18","30.463506","-84.324149","","","0","","","1","",""
"104931-2329820","19","W Tharpe Street East of Maryellen Drive","W TH19","30.465471","-84.330869","","","0","","","0","",""
"104931-2329821","20","W Tharpe Street and Trimble Road","W TH20","30.465433","-84.335638","","","0","","","0","",""
"104931-2329822","21","W Tharpe Street W of Burns Drive","W TH21","30.46542","-84.339803","","","0","","","0","",""
"104931-2329823","22","W Tharpe Street and Nani Drive","W TH22","30.465408","-84.341429","","","0","","","0","",""
"104931-2329824","24","N Mission Road and Pecan Road","N MI24","30.469428","-84.344325","","","0","","","1","",""
"104931-2329825","25","N Mission Road and Hartsfield Road","MISNHART","30.473437","-84.344371","","","0","","","1","",""
"104931-2329826","26","N Mission Road and Moon Lane","N MI26","30.476476","-84.344463","","","0","","","1","",""
"104931-2329827","27","N Mission Road and Huntington Woods Boulevard","N MI27","30.481237","-84.344441","","","0","","","1","",""
"104931-2329828","28","N Mission Road and Mccord Boulevard","N MI28","30.484932","-84.344489","","","0","","","1","",""
"104931-2329829","29","N Mission Road and Gaffney Loop","N MI29","30.487467","-84.344491","","","0","","","1","",""
